	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	pfam_hits	cazy_hits	vogdb_id	vogdb_categories	vogdb_hit	heme_regulatory_motif_count	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	virsorter_category	auxiliary_score	is_transposon	amg_flags
host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2_8	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	host__NZ_CP021963_1_Citrobacter_youngae_strain_L6_chromosome__complete_genome_3175276_3222669_0_47393_0_5952_1__full_1-cat_2	8	4544	4942	1	C		ent:Ent638_1339  hypothetical protein	False	0.98	275.0	3.045e-83												0								2	5	False	F
host__NZ_CP023691_1_Streptomyces_platensis_strain_ATCC_23948_chromosome__complete_genome_0_8501012_0_4857083_2249915_2256574_284__full-cat_2_1	host__NZ_CP023691_1_Streptomyces_platensis_strain_ATCC_23948_chromosome__complete_genome_0_8501012_0_4857083_2249915_2256574_284__full-cat_2	host__NZ_CP023691_1_Streptomyces_platensis_strain_ATCC_23948_chromosome__complete_genome_0_8501012_0_4857083_2249915_2256574_284__full-cat_2	1	1	951	-1	C		kfl:Kfla_5935  hypothetical protein	False	0.276	70.0	2.562e-10												0								2	5	False	F
host__NZ_CP023691_1_Streptomyces_platensis_strain_ATCC_23948_chromosome__complete_genome_0_8501012_0_4857083_2249915_2256574_284__full-cat_2_2	host__NZ_CP023691_1_Streptomyces_platensis_strain_ATCC_23948_chromosome__complete_genome_0_8501012_0_4857083_2249915_2256574_284__full-cat_2	host__NZ_CP023691_1_Streptomyces_platensis_strain_ATCC_23948_chromosome__complete_genome_0_8501012_0_4857083_2249915_2256574_284__full-cat_2	2	948	2396	-1	A		sfi:SFUL_1533  Zinc finger SWIM domain protein	True	0.524	473.0	2.486e-145												0								2	4	False	F
host__NZ_CP023691_1_Streptomyces_platensis_strain_ATCC_23948_chromosome__complete_genome_0_8501012_0_4857083_2249915_2256574_284__full-cat_2_3	host__NZ_CP023691_1_Streptomyces_platensis_strain_ATCC_23948_chromosome__complete_genome_0_8501012_0_4857083_2249915_2256574_284__full-cat_2	host__NZ_CP023691_1_Streptomyces_platensis_strain_ATCC_23948_chromosome__complete_genome_0_8501012_0_4857083_2249915_2256574_284__full-cat_2	3	2393	5338	-1	A		sve:SVEN_1618  Helicase, SNF2 or RAD54 family	True	0.726	1374.0	0.0	YP_473296.1	YP_473296.1 Global transactivator [Hyphantria cunea nucleopolyhedrovirus]	False	0.282	185.0	4.38e-46	SNF2 family N-terminal domain [PF00176.23]; SNF2 Helicase protein [PF12419.8]; Helicase conserved C-terminal domain [PF00271.31]; ERCC3/RAD25/XPB C-terminal helicase [PF16203.5]		sp|Q9T1Q7|VP41_BPAPS	Xu	sp|Q9T1Q7|VP41_BPAPS Putative protein p41; Xu	0								1	4	False	F
host__NZ_CP023691_1_Streptomyces_platensis_strain_ATCC_23948_chromosome__complete_genome_0_8501012_0_4857083_2249915_2256574_284__full-cat_2_4	host__NZ_CP023691_1_Streptomyces_platensis_strain_ATCC_23948_chromosome__complete_genome_0_8501012_0_4857083_2249915_2256574_284__full-cat_2	host__NZ_CP023691_1_Streptomyces_platensis_strain_ATCC_23948_chromosome__complete_genome_0_8501012_0_4857083_2249915_2256574_284__full-cat_2	4	5841	6659	1	A		ssx:SACTE_0017  UvrD/REP helicase	True	0.659	356.0	1.634e-108	YP_009304843.1	YP_009304843.1 putative DNA helicase [Acinetobacter phage vB_AbaM_phiAbaA1]	False	0.322	141.0	6.579000000000001e-36	UvrD/REP helicase N-terminal domain [PF00580.21]; AAA domain [PF13245.6]; AAA domain [PF13604.6]		sp|F1ND48|FBH1_CHICK	Xh	sp|F1ND48|FBH1_CHICK F-box DNA helicase 1; Xh	0								1	5	False	F
host__NZ_CP025359_1_Bordetella_pertussis_strain_E153_chromosome__complete_genome_0_3349417_0_3349417_859954_862778_113__lt2gene-cat_1_1	host__NZ_CP025359_1_Bordetella_pertussis_strain_E153_chromosome__complete_genome_0_3349417_0_3349417_859954_862778_113__lt2gene-cat_1	host__NZ_CP025359_1_Bordetella_pertussis_strain_E153_chromosome__complete_genome_0_3349417_0_3349417_859954_862778_113__lt2gene-cat_1	1	3	728	1	A		bpe:BP3015  M23/M37 family peptidase	True	0.939	477.0	5.241e-151	YP_004957396.1	YP_004957396.1 unnamed protein product [Planktothrix phage PaV-LD]	False	0.473	117.0	4.076e-28	Peptidase family M23 [PF01551.22]					0	MER0030662	M23B	MER0030662 - subfamily M23B unassigned peptidases (Bordetella pertussis) [M23.UPB]#M23B#{peptidase unit: 118-290}~source NP_881590~	False	0.951	348.0	1.567e-107	0	5	False	PF
host__NZ_CP025359_1_Bordetella_pertussis_strain_E153_chromosome__complete_genome_0_3349417_0_3349417_859954_862778_113__lt2gene-cat_1_2	host__NZ_CP025359_1_Bordetella_pertussis_strain_E153_chromosome__complete_genome_0_3349417_0_3349417_859954_862778_113__lt2gene-cat_1	host__NZ_CP025359_1_Bordetella_pertussis_strain_E153_chromosome__complete_genome_0_3349417_0_3349417_859954_862778_113__lt2gene-cat_1	2	908	2824	1	A	K03070	bpe:BP3014  secA; preprotein translocase subunit SecA; K03070 preprotein translocase subunit SecA	True	0.948	1273.0	0.0							SecA DEAD-like domain [PF07517.14]; SecA preprotein cross-linking domain [PF01043.20]					0								2	5	False	F
host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2_1	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	1	869	1435	-1	C		van:VAA_00288  DNA integration/recombination/inversion protein	False	0.605	225.0	1.042e-64	YP_009013636.1	YP_009013636.1 PinR [Mycobacterium phage Dori]	False	0.35	85.0	6.441e-18	Resolvase, N terminal domain [PF00239.21]					0								1	5	False	F
host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2_2	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	2	1649	1957	-1	E																		0								2	3	False	F
host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2_3	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	3	2138	2413	-1	E																		0								2	3	False	F
host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2_4	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	4	3268	4836	-1	A		kpe:KPK_0784  phage integrase family site-specific recombinase	True	0.736	792.0	7.408e-255							Phage integrase family [PF00589.22]		sp|O10330|VLF1_NPVOP	Xr	sp|O10330|VLF1_NPVOP Very late expression factor 1; Xr	0								1	3	False	VF
host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2_5	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	5	5123	6640	-1	A		mmk:MU9_3007  Lysyl-tRNA synthetase (class II)	True	0.958	1019.0	0.0	YP_009448888.1	YP_009448888.1 Aspartyl-tRNA synthetase [Orpheovirus IHUMI-LCC2]	False	0.195	92.0	4.056e-18	tRNA synthetases class II (D, K and N) [PF00152.20]; OB-fold nucleic acid binding domain [PF01336.25]		sp|P58693|SYN_CLOPE	Xh	sp|P58693|SYN_CLOPE Asparagine--tRNA ligase; Xh	0								2	3	False	F
host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2_6	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	6	6650	7549	-1	A		mmk:MU9_3008  Peptide chain release factor 2	True	0.952	600.0	1.542e-192							PCRF domain [PF03462.18]; RF-1 domain [PF00472.20]		REFSEQ	Xu	REFSEQ hypothetical protein; Xu	0								1	3	False	F
host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2_7	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	host__NZ_CP026046_1_Morganella_morganii_strain_FDAARGOS_63_chromosome__complete_genome_3719134_4000026_6885_280892_93304_102342_10__full-cat_2	7	7853	9037	-1	A		mmk:MU9_3009  Single-stranded-DNA-specific exonuclease RecJ	True	0.968	805.0	1.233e-261	YP_001429805.1	YP_001429805.1 RecJ [Bacillus phage 0305phi8-36]	False	0.265	144.0	1.13e-35	RecJ OB domain [PF17768.1]; DHHA1 domain [PF02272.19]		sp|P28355|RECJ_SALTY	Xu	sp|P28355|RECJ_SALTY Single-stranded-DNA-specific exonuclease RecJ; Xu	0								1	5	False	F
host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1_1	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	1	812	1585	1	C	K09960	ypi:YpsIP31758_2222  hypothetical protein; K09960 hypothetical protein	False	0.428	176.0	1.069e-46	YP_009615285.1	YP_009615285.1 hypothetical protein kpv79_14 [Klebsiella phage vB_KpnM_KpV79]	False	0.558	191.0	2.3949999999999997e-53	Uncharacterized protein conserved in bacteria (DUF2213) [PF09979.9]		sp|P44180|Y1405_HAEIN	Xu	sp|P44180|Y1405_HAEIN Uncharacterized protein HI_1405; Xu	0								0	5	False	F
host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1_2	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	2	1595	1795	-1	E																		0								2	1	False	F
host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1_3	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	3	1834	2037	-1	E																		0								2	1	False	F
host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1_4	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	4	2040	2468	-1	E																		0								2	1	False	F
host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1_5	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	5	2478	2798	-1	E																		0								2	1	False	F
host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1_6	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	6	3125	4432	1	C		bge:BC1002_6556  tail tape measure protein TP901 core region	False	0.213	66.0	8.026e-09	YP_007003096.1	YP_007003096.1 putative tail-fiber/lysozyme protein [Vibrio phage CP-T1]	False	0.258	128.0	5.46e-30						0								0	4	False	F
host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1_7	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	7	4720	5154	-1	E																		0								2	4	False	F
host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1_8	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	host__NZ_CP026531_1_Vibrio_cholerae_strain_FORC_076_chromosome_1__complete_sequence_0_2963247_457861_2852527_2036044_2046724_241__full_1-cat_1	8	5732	5836	-1	E																		0								2	5	False	F
host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2_1	host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2	host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2	1	392	685	1	C		sdy:SDY_0732  hypothetical protein	False	0.974	201.0	1.8400000000000002e-58	YP_009126605.1	YP_009126605.1 putative terminase large subunit [Edwardsiella phage GF-2]	False	0.673	127.0	2.959e-34						0								0	5	False	TF
host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2_2	host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2	host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2	2	685	1005	1	C		sdy:SDY_0733  hypothetical protein	False	0.962	217.0	1.267e-63	YP_009191609.1	YP_009191609.1 putative portal protein [Salmonella phage SEN34]	False	0.929	207.0	1.128e-61	Protein of unknown function (DUF1073) [PF06381.11]					0								0	4	False	TF
host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2_3	host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2	host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2	3	1056	1331	1	C		sdy:SDY_2549  insA; IS1 ORF1	False	0.984	191.0	5.09e-55	YP_006488.1	YP_006488.1 InsA [Escherichia virus P1]	False	0.969	188.0	1.535e-55	InsA C-terminal domain [PF12759.7]; InsA N-terminal domain [PF03811.13]		sp|P59843|INSB_HAEDU	Xr	sp|P59843|INSB_HAEDU Insertion element IS1 protein InsB; Xr	0								2	4	False	VTF
host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2_4	host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2	host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2	4	1376	1753	1	C		sdy:SDY_4619  IS1 ORF2	False	0.986	262.0	5.313e-79	YP_006487.1	YP_006487.1 InsB [Escherichia virus P1]	False	0.986	262.0	1.277e-80	IS1 transposase [PF03400.13]		sp|P59843|INSB_HAEDU	Xr	sp|P59843|INSB_HAEDU Insertion element IS1 protein InsB; Xr	0								2	4	True	VTF
host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2_5	host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2	host__NZ_CP026777_1_Shigella_dysenteriae_strain_69_3818_chromosome__complete_genome_2872433_2905538_0_33105_0_2722_1__full-cat_2	5	2034	2720	-1	C	K03212	sdy:SDY_0736  rumB; 23S rRNA methyluridine methyltransferase; K03212 23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]	False	0.983	330.0	2.442e-100							tRNA (Uracil-5-)-methyltransferase [PF05958.11]; Methyltransferase domain [PF13847.6]; Methyltransferase small domain [PF05175.14]					0								2	5	False	TF
host__NZ_CP026901_1_Bordetella_pertussis_strain_J628_chromosome__complete_genome_706127_4107705_0_3401578_1148273_1152572_140__full-cat_2_1	host__NZ_CP026901_1_Bordetella_pertussis_strain_J628_chromosome__complete_genome_706127_4107705_0_3401578_1148273_1152572_140__full-cat_2	host__NZ_CP026901_1_Bordetella_pertussis_strain_J628_chromosome__complete_genome_706127_4107705_0_3401578_1148273_1152572_140__full-cat_2	1	3	1025	1	A	K00507	bpa:BPP1989  fatty acid desaturase; K00507 stearoyl-CoA desaturase (delta-9 desaturase) [EC:1.14.19.1]	True	0.984	708.0	3.313e-229							Transposase [PF01610.17]; Fatty acid desaturase [PF00487.24]					0								1	5	True	MKTF
